Water_column;Soft_substrate_microorganisms;Soft_substrate_meiobenthos;Soft_substrate_macrobenthos
1/6/2021;1/6/2021;1/6/2021;
1/8/2021;1/8/2021;;
1/10/2021;1/10/2021;1/10/2021;1/10/2021
1/12/2021;1/12/2021;;
1/2/2022;1/2/2022;;
1/4/2022;1/4/2022;1/4/2022;1/4/2022
1/6/2022;1/6/2022;1/6/2022;
1/8/2022;1/8/2022;;
1/10/2022;1/10/2022;1/10/2022;1/10/2022
1/12/2022;1/12/2022;;
1/2/2023;1/2/2023;;
1/4/2023;1/4/2023;1/4/2023;1/4/2023
1/6/2023;1/6/2023;1/6/2023;
1/8/2023;1/8/2023;;
1/10/2023;1/10/2023;1/10/2023;1/10/2023
1/12/2023;1/12/2023;;
